time,tau1,tau2,tau3,tau4,tau5,tau6
1465,4.68027, 0, 0, 0, 0, 0
1470,4.68025, 0, 0, 0, 0, 0
1475,4.68024, 0, 0, 0, 0, 0
1480,4.68023, 0, 0, 0, 0, 0
1485,4.68022, 0, 0, 0, 0, 0
1490,4.6802, 0, 0, 0, 0, 0
1495,4.68019, 0, 0, 0, 0, 0
1500,4.68018, 0, 0, 0, 0, 0
1505,4.68017, 0, 0, 0, 0, 0
1510,4.68015, 0, 0, 0, 0, 0
1515,4.68014, 0, 0, 0, 0, 0
1520,4.68013, 0, 0, 0, 0, 0
1525,4.68011, 0, 0, 0, 0, 0
1530,4.6801, 0, 0, 0, 0, 0
1535,4.68009, 0, 0, 0, 0, 0
1540,4.68008, 0, 0, 0, 0, 0
1545,4.68006, 0, 0, 0, 0, 0
1550,4.68005, 0, 0, 0, 0, 0
1555,4.68004, 0, 0, 0, 0, 0
1560,4.68002, 0, 0, 0, 0, 0
1565,4.68001, 0, 0, 0, 0, 0
1570,4.68, 0, 0, 0, 0, 0
1575,4.67999, 0, 0, 0, 0, 0
1580,4.67997, 0, 0, 0, 0, 0
1585,4.67996, 0, 0, 0, 0, 0
1590,4.67995, 0, 0, 0, 0, 0
1595,4.67994, 0, 0, 0, 0, 0
1600,4.67992, 0, 0, 0, 0, 0
1605,4.67991, 0, 0, 0, 0, 0
1610,4.6799, 0, 0, 0, 0, 0
1615,4.67988, 0, 0, 0, 0, 0
1620,4.67987, 0, 0, 0, 0, 0
1625,4.67986, 0, 0, 0, 0, 0
1630,4.67985, 0, 0, 0, 0, 0
1635,4.67983, 0, 0, 0, 0, 0
1640,4.67982, 0, 0, 0, 0, 0
1645,4.67981, 0, 0, 0, 0, 0
1650,4.67979, 0, 0, 0, 0, 0
1655,4.67978, 0, 0, 0, 0, 0
1660,4.67977, 0, 0, 0, 0, 0
1665,4.67976, 0, 0, 0, 0, 0
1670,4.67974, 0, 0, 0, 0, 0
1675,4.67973, 0, 0, 0, 0, 0
1680,4.67972, 0, 0, 0, 0, 0
1685,4.6797, 0, 0, 0, 0, 0
1690,4.67969, 0, 0, 0, 0, 0
1695,4.67968, 0, 0, 0, 0, 0
1700,4.67967, 0, 0, 0, 0, 0
1705,4.67965, 0, 0, 0, 0, 0
1710,4.67964, 0, 0, 0, 0, 0
1715,4.67963, 0, 0, 0, 0, 0
1720,4.67961, 0, 0, 0, 0, 0
1725,4.6796, 0, 0, 0, 0, 0
1730,4.67959, 0, 0, 0, 0, 0
1735,4.67958, 0, 0, 0, 0, 0
1740,4.67956, 0, 0, 0, 0, 0
1745,4.67955, 0, 0, 0, 0, 0
1750,4.67954, 0, 0, 0, 0, 0
1755,4.67952, 0, 0, 0, 0, 0
1760,4.67951, 0, 0, 0, 0, 0
1765,4.6795, 0, 0, 0, 0, 0
1770,4.67949, 0, 0, 0, 0, 0
1775,4.67947, 0, 0, 0, 0, 0
1780,4.67946, 0, 0, 0, 0, 0
1785,4.67945, 0, 0, 0, 0, 0
1790,4.67944, 0, 0, 0, 0, 0
1795,4.67942, 0, 0, 0, 0, 0
1800,4.67941, 0, 0, 0, 0, 0
1805,4.6794, 0, 0, 0, 0, 0
1810,4.67938, 0, 0, 0, 0, 0
1815,4.67937, 0, 0, 0, 0, 0
1820,4.67936, 0, 0, 0, 0, 0
1825,4.67935, 0, 0, 0, 0, 0
1830,4.67933, 0, 0, 0, 0, 0
1835,4.67932, 0, 0, 0, 0, 0
1840,4.67931, 0, 0, 0, 0, 0
1845,4.67929, 0, 0, 0, 0, 0
1850,4.67928, 0, 0, 0, 0, 0
1855,4.67927, 0, 0, 0, 0, 0
1860,4.67926, 0, 0, 0, 0, 0
1865,4.67924, 0, 0, 0, 0, 0
1870,4.67923, 0, 0, 0, 0, 0
1875,4.67922, 0, 0, 0, 0, 0
1880,4.6792, 0, 0, 0, 0, 0
1885,4.67919, 0, 0, 0, 0, 0
1890,4.67918, 0, 0, 0, 0, 0
1895,4.67917, 0, 0, 0, 0, 0
1900,4.67915, 0, 0, 0, 0, 0
1905,4.67914, 0, 0, 0, 0, 0
1910,4.67913, 0, 0, 0, 0, 0
1915,4.67911, 0, 0, 0, 0, 0
1920,4.6791, 0, 0, 0, 0, 0
1925,4.67909, 0, 0, 0, 0, 0
1930,4.67908, 0, 0, 0, 0, 0
1935,4.67906, 0, 0, 0, 0, 0
1940,4.67905, 0, 0, 0, 0, 0
1945,4.67904, 0, 0, 0, 0, 0
1950,4.67902, 0, 0, 0, 0, 0
1955,4.67901, 0, 0, 0, 0, 0
1960,4.679, 0, 0, 0, 0, 0
1965,4.67899, 0, 0, 0, 0, 0
1970,4.67897, 0, 0, 0, 0, 0
1975,4.67896, 0, 0, 0, 0, 0
1980,4.67895, 0, 0, 0, 0, 0
1985,4.67894, 0, 0, 0, 0, 0
1990,4.67892, 0, 0, 0, 0, 0
1995,4.67891, 0, 0, 0, 0, 0
2000,4.6789, 0, 0, 0, 0, 0
