time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
690,0,-0.000673786,0.00304359,0.747513,-0.00319922,0.000445037,0.000946062,-0.569018,0.233424,0.168798,0.166796
695,0,-0.0010433,0.00375553,0.74073,-0.00255002,0.000431157,0.000886769,-0.568894,0.233255,0.168729,0.166909
700,0,-0.00137471,0.00431602,0.733884,-0.00179994,0.000364109,0.000805108,-0.568616,0.232939,0.168718,0.166959
705,0,-0.00164083,0.00466594,0.726947,-0.000766322,0.000305541,0.000694264,-0.568293,0.232586,0.168628,0.16708
710,0,-0.00181561,0.00474738,0.719893,0.00055041,0.000192825,0.000580325,-0.232134,0.567844,-0.167086,-0.168625
715,0,-0.00186663,0.00452717,0.712705,0.00159502,3.02718e-05,0.000445579,-0.231557,0.567242,-0.16702,-0.168665
720,0,-0.00175777,0.00403015,0.705376,0.00247732,-0.00017364,0.000314909,0.167541,0.168101,0.231602,-0.567244
725,0,-0.00148802,0.00330503,0.697903,0.00284247,-0.000362337,0.000190953,0.16815,0.16747,0.231742,-0.567361
730,0,-0.00109744,0.00242635,0.690325,0.00302162,-0.000492719,9.69695e-05,0.168588,0.167019,0.231821,-0.567428
735,0,-0.000624987,0.00146694,0.682684,0.00284997,-0.000594788,3.25427e-05,0.168925,0.166694,0.231891,-0.567511
740,0,-9.13497e-05,0.000482189,0.675001,0.00262028,-0.00068817,-4.31109e-05,0.567725,-0.232091,-0.166536,-0.169098
745,0,0.000486912,-0.000481835,0.667291,0.0020811,-0.000751378,-8.20667e-05,0.567943,-0.23228,-0.166501,-0.169162
750,0,0.00107438,-0.00137082,0.659596,0.00153503,-0.000763651,-9.46482e-05,0.568004,-0.232318,-0.166513,-0.169173
755,0,0.00164995,-0.00214985,0.651942,0.000712793,-0.00077091,-0.000120839,0.568081,-0.232373,-0.166561,-0.169147
760,0,0.00221178,-0.00280993,0.644331,-0.000190021,-0.000770962,-0.000123556,0.232376,-0.56809,0.169144,0.166569
765,0,0.00275945,-0.00336718,0.636764,-0.000776003,-0.000779888,-0.000144164,0.232438,-0.568145,0.169118,0.166589
770,0,0.00329271,-0.00387486,0.629238,-0.00107511,-0.000784937,-0.000157951,0.232478,-0.568179,0.169098,0.166603
775,0,0.0038115,-0.00437895,0.621756,-0.00106667,-0.000788192,-0.000162461,0.232494,-0.568195,0.169096,0.166605
780,0,0.00431591,-0.00491419,0.614316,-0.00096111,-0.000788573,-0.000186202,0.23254,-0.568244,0.169051,0.166653
785,0,0.00480611,-0.00550504,0.606919,-0.000583377,-0.000790335,-0.00019361,0.232555,-0.568265,0.169043,0.166667
790,0,0.00528236,-0.00616617,0.599564,-0.000126578,-0.000799384,-0.000208423,0.2326,-0.568315,0.169034,0.16668
795,0,0.00574492,-0.0069077,0.592252,0.00028259,-0.00080608,-0.00022156,0.568354,-0.23264,-0.166693,-0.169021
800,0,0.00619411,-0.0077291,0.584983,0.000850412,-0.000812908,-0.000247827,0.568416,-0.23271,-0.166727,-0.168979
805,0,0.00663016,-0.00860567,0.577757,0.000946895,-0.000817849,-0.000258511,0.568446,-0.232742,-0.166737,-0.168966
810,0,0.00705324,-0.00951086,0.570574,0.000951586,-0.000834711,-0.000269415,0.568501,-0.232797,-0.166725,-0.168978
815,0,0.00746342,-0.0104195,0.563434,0.000919169,-0.000844836,-0.000274403,0.568531,-0.232827,-0.166715,-0.168989
820,0,0.00786071,-0.0113079,0.556337,0.000713825,-0.000826993,-0.000298137,0.568545,-0.232836,-0.1668,-0.168908
825,0,0.00824506,-0.0121538,0.549285,0.000288368,-0.000837018,-0.000312952,0.568597,-0.232883,-0.166812,-0.168902
830,0,0.00861635,-0.0129365,0.542276,-0.000435052,-0.000841322,-0.000322732,0.232912,-0.568624,0.16889,0.166822
835,0,0.00897446,-0.0136488,0.535312,-0.00102812,-0.000861522,-0.0003417,0.232995,-0.568697,0.168888,0.166814
840,0,0.00931929,-0.0143124,0.528392,-0.00142662,-0.000865803,-0.000360707,0.233047,-0.568738,0.168853,0.166837
845,0,0.00965087,-0.0149514,0.521516,-0.00171418,-0.000867857,-0.000386118,0.233107,-0.568787,0.168801,0.166878
850,0,0.00996924,-0.0155889,0.514683,-0.00163087,-0.000866203,-0.000385514,0.233101,-0.568784,0.168801,0.166882
855,0,0.0102746,-0.016247,0.507892,-0.0015629,-0.000870967,-0.000407296,0.233153,-0.568838,0.168768,0.166917
860,0,0.0105647,-0.0169408,0.501149,-0.00138822,-0.00087835,-0.000412304,0.233174,-0.568866,0.168776,0.166915
865,0,0.0108256,-0.0176567,0.494481,-0.000940835,-0.000832158,-0.000405456,0.233062,-0.568766,0.168703,0.167
870,0,0.0110412,-0.0183705,0.487922,-0.000315198,-0.000776945,-0.000378658,0.232894,-0.568607,0.168651,0.167062
875,0,0.0111966,-0.019055,0.481508,0.000477509,-0.000676404,-0.000321252,0.568291,-0.232579,-0.167149,-0.168563
880,0,0.0112783,-0.0196698,0.475272,0.00103267,-0.00053108,-0.000251496,0.567858,-0.232156,-0.167295,-0.168406
885,0,0.0112751,-0.0201475,0.469243,0.00149676,-0.000379361,-0.000156493,0.567361,-0.231673,-0.167402,-0.168286
890,0,0.0111764,-0.0204191,0.463454,0.00177313,-0.000185104,-6.51162e-05,0.56679,-0.231113,-0.167602,-0.168076
895,0,0.0109722,-0.0204166,0.457931,0.00164152,3.10938e-05,4.5012e-05,-0.230766,0.566449,-0.167814,-0.167869
900,0,0.0106745,-0.0201352,0.452654,0.001354,0.000168918,0.000121906,-0.231185,0.566878,-0.167939,-0.167753
905,0,0.0103387,-0.0196988,0.447504,0.00106404,0.000232365,0.000148054,-0.231358,0.567059,-0.168017,-0.167684
910,0,0.0099986,-0.0191869,0.442405,0.000525241,0.000247342,0.0001293,-0.231346,0.567057,-0.168089,-0.167622
915,0,0.00966342,-0.0186194,0.437336,3.81747e-05,0.000246248,0.000120722,-0.231325,0.567039,-0.168105,-0.167609
920,0,0.00933333,-0.0179949,0.432296,-0.000405776,0.000247341,9.78508e-05,-0.566996,0.231283,0.16756,0.168152
925,0,0.0090082,-0.0173199,0.427284,-0.000889412,0.000250804,8.82072e-05,-0.56698,0.231275,0.167531,0.168174
930,0,0.008688,-0.016613,0.4223,-0.00121433,0.000264107,7.63601e-05,-0.566979,0.231282,0.167477,0.16822
935,0,0.00837268,-0.0158889,0.417343,-0.00133379,0.000268894,5.41317e-05,-0.566942,0.231249,0.167422,0.168271
940,0,0.00806224,-0.0151577,0.412413,-0.00150315,0.000266257,3.9007e-05,-0.566904,0.231217,0.167395,0.168293
945,0,0.00775668,-0.0144255,0.407509,-0.00145734,0.000272794,2.13939e-05,-0.566884,0.231194,0.167348,0.168342
950,0,0.007456,-0.0136956,0.402631,-0.00148869,0.000269774,1.31505e-05,-0.566861,0.231172,0.167337,0.168352
955,0,0.00716021,-0.0129713,0.397779,-0.0013599,0.000280422,-2.26498e-05,-0.168356,-0.167337,-0.23121,0.566903
960,0,0.00686934,-0.0122567,0.392952,-0.00133377,0.000288457,-3.83009e-05,-0.168341,-0.167352,-0.231257,0.56695
965,0,0.00658341,-0.0115544,0.38815,-0.00117859,0.000292506,-4.30611e-05,-0.168342,-0.167356,-0.231272,0.56697
970,0,0.00630243,-0.01087,0.383373,-0.000968661,0.000305019,-5.39944e-05,-0.168348,-0.167355,-0.231315,0.567019
975,0,0.00602645,-0.0102122,0.378621,-0.000659047,0.000301009,-6.44111e-05,-0.168323,-0.167386,-0.231325,0.567034
980,0,0.00575552,-0.00959205,0.373894,-0.000239272,0.000303767,-8.72529e-05,-0.168285,-0.167428,-0.231373,0.567087
985,0,0.00548972,-0.00902164,0.36919,0.000392322,0.000303845,-9.60086e-05,0.167445,0.168268,-0.567104,0.231391
990,0,0.00522912,-0.00850725,0.36451,0.000888509,0.000299854,-0.000132671,0.167522,0.168184,-0.567165,0.23146
995,0,0.0049738,-0.00804143,0.359854,0.0015191,0.000307378,-0.000142972,0.167518,0.168169,-0.567191,0.231504
1000,0,0.00472381,-0.00761503,0.355222,0.00189185,0.000316115,-0.000149267,0.167506,0.168167,-0.567213,0.231541
1005,0,0.00447918,-0.007219,0.350613,0.00225571,0.000309477,-0.000174219,0.167559,0.168095,-0.567241,0.231586
1010,0,0.00423991,-0.00684428,0.346028,0.0025173,0.000313825,-0.000185176,0.167565,0.168075,-0.567264,0.231624
1015,0,0.00400601,-0.0064814,0.341466,0.00266074,0.000329396,-0.000207444,0.167574,0.168057,-0.567334,0.231703
1020,0,0.00377744,-0.00612054,0.336928,0.00263483,0.000328863,-0.000218192,0.167597,0.168036,-0.567355,0.231722
1025,0,0.00355418,-0.00575166,0.332413,0.00255402,0.000327549,-0.000235931,0.167637,0.168001,-0.56739,0.231753
1030,0,0.00333619,-0.0053645,0.327922,0.002472,0.000332795,-0.000257966,0.167673,0.16797,-0.567447,0.231804
1035,0,0.00312739,-0.00496364,0.323465,0.00200816,0.000303831,-0.000259091,0.167745,0.167922,-0.567404,0.231737
1040,0,0.00293743,-0.00457754,0.319067,0.00150321,0.000281367,-0.000238245,0.167758,0.167929,-0.567328,0.231641
1045,0,0.00277588,-0.00423731,0.314758,0.000810118,0.000207544,-0.000221544,0.167881,0.167826,-0.567158,0.231452
1050,0,0.00265179,-0.00397465,0.310563,-5.30854e-05,0.000109992,-0.000164333,-0.16775,-0.167965,-0.231142,0.566856
1055,0,0.00257305,-0.00382809,0.30651,-0.00067771,-1.31611e-05,-0.000108225,0.230842,-0.566551,0.167667,0.168042
1060,0,0.00253971,-0.00382609,0.3026,-0.00125172,-0.000108205,-5.87259e-05,0.230939,-0.566635,0.167946,0.16775
1065,0,0.00253569,-0.00393078,0.298793,-0.00142009,-0.000180231,-3.57276e-05,0.231038,-0.566729,0.168131,0.16756
1070,0,0.00254569,-0.00409769,0.295047,-0.001308,-0.000213108,-3.0456e-05,0.231091,-0.566786,0.168208,0.167486
1075,0,0.00256253,-0.00431075,0.29134,-0.00120619,-0.000225896,-4.12447e-05,0.231136,-0.566834,0.168214,0.167484
