time,thrust,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z
1475,0,0,0,1.5708,0.707107,0,0,0.707107
1480,0,0,0,1.5708,0.707107,0,0,0.707107
1485,0,0,0,1.5708,0.707107,0,0,0.707107
1490,0,0,0,1.5708,0.707107,0,0,0.707107
1495,0,0,0,1.5708,0.707107,0,0,0.707107
1500,0,0,0,1.5708,0.707107,0,0,0.707107
1505,0,0,0,1.5708,0.707107,0,0,0.707107
1510,0,0,0,1.5708,0.707107,0,0,0.707107
1515,0,0,0,1.5708,0.707107,0,0,0.707107
1520,0,0,0,1.5708,0.707107,0,0,0.707107
1525,0,0,0,1.5708,0.707107,0,0,0.707107
1530,0,0,0,1.5708,0.707107,0,0,0.707107
1535,0,0,0,1.5708,0.707107,0,0,0.707107
1540,0,0,0,1.5708,0.707107,0,0,0.707107
1545,0,0,0,1.5708,0.707107,0,0,0.707107
1550,0,0,0,1.5708,0.707107,0,0,0.707107
1555,0,0,0,1.5708,0.707107,0,0,0.707107
1560,0,0,0,1.5708,0.707107,0,0,0.707107
1565,0,0,0,1.5708,0.707107,0,0,0.707107
1570,0,0,0,1.5708,0.707107,0,0,0.707107
1575,0,0,0,1.5708,0.707107,0,0,0.707107
1580,0,0,0,1.5708,0.707107,0,0,0.707107
1585,0,0,0,1.5708,0.707107,0,0,0.707107
1590,0,0,0,1.5708,0.707107,0,0,0.707107
1595,0,0,0,1.5708,0.707107,0,0,0.707107
1600,0,0,0,1.5708,0.707107,0,0,0.707107
1605,0,0,0,1.5708,0.707107,0,0,0.707107
1610,0,0,0,1.5708,0.707107,0,0,0.707107
1615,0,0,0,1.5708,0.707107,0,0,0.707107
1620,0,0,0,1.5708,0.707107,0,0,0.707107
1625,0,0,0,1.5708,0.707107,0,0,0.707107
1630,0,0,0,1.5708,0.707107,0,0,0.707107
1635,0,0,0,1.5708,0.707107,0,0,0.707107
1640,0,0,0,1.5708,0.707107,0,0,0.707107
1645,0,0,0,1.5708,0.707107,0,0,0.707107
1650,0,0,0,1.5708,0.707107,0,0,0.707107
1655,0,0,0,1.5708,0.707107,0,0,0.707107
1660,0,0,0,1.5708,0.707107,0,0,0.707107
1665,0,0,0,1.5708,0.707107,0,0,0.707107
1670,0,0,0,1.5708,0.707107,0,0,0.707107
1675,0,0,0,1.5708,0.707107,0,0,0.707107
1680,0,0,0,1.5708,0.707107,0,0,0.707107
1685,0,0,0,1.5708,0.707107,0,0,0.707107
1690,0,0,0,1.5708,0.707107,0,0,0.707107
1695,0,0,0,1.5708,0.707107,0,0,0.707107
1700,0,0,0,1.5708,0.707107,0,0,0.707107
1705,0,0,0,1.5708,0.707107,0,0,0.707107
1710,0,0,0,1.5708,0.707107,0,0,0.707107
1715,0,0,0,1.5708,0.707107,0,0,0.707107
1720,0,0,0,1.5708,0.707107,0,0,0.707107
