time,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z
725,0.0988222, 0.00895406, -9.93137,-0.150865, -0.183716, -2.26865,0.193325, -0.319093, 0.246806
730,0.16585, 0.0195995, -9.7446,-0.15747, -0.242832, -2.28778,1.93804, 1.00477, -0.26023
735,0.195306, 0.00291645, -9.90918,-0.146066, -0.288192, -2.29263,0.710329, 1.20112, -1.48547
740,0.189295, 0.0130309, -9.69789,-0.131398, -0.32933, -2.30267,-1.23543, 0.789982, -1.75123
745,0.0210947, 0.0394054, -9.93491,-0.101006, -0.35617, -2.29516,-1.81032, 0.0901293, -0.472687
750,-0.0723462, 0.0421177, -9.73097,-0.070216, -0.359009, -2.27513,0.494103, 2.54595, 1.05774
755,-0.0755173, 0.0350081, -9.89364,-0.0257057, -0.359831, -2.26173,0.438346, 0.142257, 0.949194
760,-0.136481, 0.0378661, -9.67023,0.0227461, -0.357624, -2.23729,0.561203, -0.79416, 0.341649
765,-0.123062, 0.00683649, -9.68743,0.0552912, -0.359991, -2.22152,-0.0488935, -0.00100123, -1.53336
770,-0.181734, 0.0219574, -9.87068,0.073424, -0.360679, -2.20264,-0.406227, 0.0422675, 0.295255
775,-0.170446, 0.00267899, -9.69726,0.0761122, -0.360525, -2.17949,-0.0485946, 1.1761, 0.656177
780,-0.154915, 0.0206801, -9.89787,0.073864, -0.358896, -2.16564,1.03121, -0.576031, 1.06718
785,-0.198874, 0.0450372, -9.78074,0.0579391, -0.357738, -2.14416,-0.776874, -0.115482, 1.00184
790,-0.23121, 0.0235378, -9.73182,0.0379822, -0.359812, -2.12635,-0.978195, 0.395593, -0.354848
795,-0.227511, 0.0236806, -9.90066,0.0203218, -0.360493, -2.10788,0.802914, 0.757975, -0.499427
800,-0.240686, -0.0031521, -9.75989,-0.00534155, -0.360967, -2.09581,-0.401153, -0.0964616, -0.711407
805,-0.273927, -0.0261607, -9.89702,-0.00754606, -0.360357, -2.07647,-0.795319, -0.540471, 0.0725423
810,-0.31729, -0.02406, -9.70934,-0.00524448, -0.365326, -2.05738,0.536206, -0.367946, -1.1821
815,-0.255975, 0.0115836, -9.91552,-0.00116718, -0.367075, -2.03561,0.431633, 1.47868, -2.16198
820,-0.311817, -0.0320715, -9.88965,0.0114685, -0.355575, -2.02292,0.548509, 0.633562, 0.778067
825,-0.332363, -0.0163508, -9.71246,0.0350185, -0.357488, -2.00613,0.117917, -0.601405, -0.0338256
830,-0.370945, -0.01721, -9.89974,0.0733698, -0.356892, -1.98709,-0.32075, 1.35679, 0.476036
835,-0.386834, -0.0705248, -9.69378,0.105132, -0.364103, -1.97258,-1.00917, 0.280912, 0.323681
840,-0.390013, -0.0622303, -9.85992,0.1271, -0.363897, -1.95823,1.90926, -0.336212, -1.75032
845,-0.447118, -0.0690703, -9.71963,0.143447, -0.362715, -1.94709,-1.04222, -1.63467, 0.498517
850,-0.426005, -0.069612, -9.94097,0.141195, -0.359772, -1.9237,-0.574018, 0.516512, -0.324146
855,-0.469671, -0.036809, -9.86248,0.139631, -0.359816, -1.91111,1.76199, 0.842415, 0.281126
860,-0.530191, -0.148047, -9.6999,0.132646, -0.360986, -1.8907,0.894576, -1.24639, 0.0376365
865,-0.581348, -0.134651, -9.88552,0.111869, -0.336569, -1.86489,-2.89681, -0.502204, 0.300947
870,-0.660337, -0.142091, -9.74136,0.0819188, -0.307864, -1.82996,-0.221349, -0.644845, -0.382259
875,-0.720306, -0.141094, -9.8806,0.0432638, -0.257673, -1.78093,0.73961, 0.12162, -2.10604
880,-0.709322, -0.119638, -9.72082,0.0160302, -0.186393, -1.72663,-0.879499, -1.24731, -0.450937
885,-0.607835, -0.152941, -9.89022,-0.00716447, -0.11253, -1.66101,0.780445, 0.112973, -1.27569
890,-0.442219, -0.161283, -9.72019,-0.0215572, -0.0191091, -1.59792,-0.926955, 0.0873734, -0.515576
895,-0.481177, -0.117781, -9.84856,-0.0162092, 0.0838341, -1.52681,1.45849, -0.117014, 0.130801
900,-0.356497, -0.170912, -9.71167,-0.00363489, 0.148513, -1.47235,1.86385, -0.0429342, 0.463691
905,-0.4385, -0.170604, -9.84509,0.00883207, 0.177251, -1.44249,-0.228809, 1.04325, 2.98294
910,-0.481437, -0.142478, -9.71514,0.0337, 0.182652, -1.43418,1.76836, 0.167376, 0.0368591
915,-0.453656, -0.14707, -9.94305,0.0560139, 0.180212, -1.42112,-0.795787, 0.488289, -1.59503
920,-0.477643, -0.185334, -9.71656,0.0762052, 0.178621, -1.41498,0.582052, -0.660908, -0.411155
925,-0.380698, -0.170974, -9.86833,0.0984081, 0.177988, -1.40262,-0.280555, 1.07757, 0.101387
930,-0.391089, -0.141421, -9.73834,0.112714, 0.181933, -1.39141,-0.270851, -1.27732, -0.157488
935,-0.432295, -0.171284, -9.87965,0.11679, 0.181765, -1.38524,1.39526, -0.520256, -0.515716
940,-0.386373, -0.215351, -9.68671,0.123387, 0.178037, -1.37577,1.00137, 2.00464, 1.53024
945,-0.326769, -0.191091, -9.91028,0.119268, 0.178674, -1.36758,0.123979, 1.40494, 0.533178
950,-0.325238, -0.183884, -9.70842,0.119031, 0.174768, -1.35501,1.67672, 0.231367, -0.350728
955,-0.273935, -0.224249, -9.93709,0.110827, 0.177389, -1.35566,-0.664943, -0.947644, 0.308969
960,-0.403959, -0.258262, -9.9043,0.107778, 0.1788, -1.34679,0.479956, 0.927499, 1.35904
965,-0.360933, -0.236489, -9.67422,0.0983154, 0.178354, -1.33282,-1.13343, -0.641657, 0.0103483
970,-0.379687, -0.228071, -9.93141,0.0861478, 0.181998, -1.32188,0.943259, 0.40328, 0.765708
975,-0.262725, -0.282773, -9.73095,0.0690323, 0.177864, -1.31077,-0.797959, -2.04152, 0.669628
980,-0.266822, -0.28554, -9.94286,0.0464459, 0.177081, -1.30567,-0.513387, -1.33141, 2.61596
985,-0.259486, -0.272437, -9.74083,0.0133124, 0.17519, -1.29393,1.10339, -1.3054, -0.63481
990,-0.256044, -0.287237, -9.84711,-0.0130279, 0.17155, -1.29557,2.04265, 0.534688, -0.825
995,-0.329436, -0.295183, -9.72929,-0.0460485, 0.173558, -1.28473,0.155761, -1.06472, -0.296058
1000,-0.287468, -0.256391, -9.88256,-0.066161, 0.176277, -1.27207,0.11078, -0.618514, 0.0960701
1005,-0.278632, -0.250004, -9.68863,-0.0857976, 0.171777, -1.26837,0.439501, 1.29313, 0.228025
1010,-0.201849, -0.27693, -9.8645,-0.100295, 0.172581, -1.25808,0.705761, 0.415746, 1.99967
1015,-0.218048, -0.283956, -9.71327,-0.10886, 0.178768, -1.25326,1.2256, -0.0759314, -2.02804
1020,-0.215075, -0.258341, -9.72524,-0.108936, 0.177295, -1.24304,-0.0618422, 0.21311, -0.736432
1025,-0.20348, -0.268234, -9.89151,-0.106239, 0.175422, -1.23622,0.539929, 0.176326, 0.193339
1030,-0.219089, -0.201655, -9.70589,-0.103449, 0.176611, -1.23153,-1.31604, -1.61843, 1.00745
1035,-0.282659, -0.234192, -9.90901,-0.0815378, 0.161463, -1.217,-1.126, -0.21998, 0.348194
1040,-0.284902, -0.241196, -9.70796,-0.0574604, 0.149461, -1.1922,-1.32588, 0.501895, -0.74988
1045,-0.405157, -0.231602, -9.91313,-0.0238173, 0.113157, -1.16968,-1.09476, 1.13146, -1.34671
1050,-0.472123, -0.229963, -9.77133,0.0185451, 0.0658153, -1.12825,0.141352, -0.274931, 0.0383129
1055,-0.421776, -0.240664, -9.90088,0.0492654, 0.00667539, -1.08783,-1.76176, -2.50668, 0.289389
1060,-0.273868, -0.322298, -9.71457,0.0777301, -0.0385901, -1.05104,-0.832043, 0.337471, -0.88808
1065,-0.139619, -0.247399, -9.866,0.0861143, -0.0725346, -1.02722,0.263347, -1.16633, 0.832293
1070,-0.0880401, -0.243996, -9.71897,0.0805767, -0.0876257, -1.01204,-1.52655, 0.936697, 1.13615
1075,-0.108384, -0.266439, -9.89195,0.0755932, -0.0929949, -1.00465,0.798575, -1.98353, 1.29401
1080,-0.0727013, -0.265126, -9.7249,0.0608914, -0.107841, -0.995642,1.07523, -0.69796, -0.0702511
1085,-0.0805762, -0.258971, -9.8622,0.0337541, -0.117174, -0.983346,-0.297211, -0.227569, 1.06512
1090,-0.140757, -0.251744, -9.6876,0.000672849, -0.128458, -0.96967,1.4799, -0.330945, 1.46651
1095,-0.161394, -0.246249, -9.9308,-0.0285392, -0.12677, -0.967503,0.95828, -0.464813, 1.53212
1100,-0.139018, -0.272035, -9.73546,-0.043962, -0.125763, -0.964076,1.54327, -0.453205, 0.986083
1105,-0.17598, -0.302786, -9.89287,-0.0470401, -0.127561, -0.960717,-0.91634, -0.986351, 0.429675
1110,-0.190984, -0.243398, -9.70806,-0.0287436, -0.126239, -0.952068,-0.128944, 1.11082, -0.905453
1115,-0.171697, -0.254756, -9.93058,-0.0101195, -0.125334, -0.948489,0.380578, -1.12708, -0.931234
1120,-0.109314, -0.267808, -9.77238,0.0268034, -0.12239, -0.945896,-0.0231821, -0.75072, 1.2531
1125,-0.130902, -0.310619, -9.86705,0.0578354, -0.116532, -0.93167,0.586791, 1.95035, 0.21767
1130,-0.13813, -0.241681, -9.69198,0.0805674, -0.100148, -0.918028,-0.567037, 0.0155144, -0.443717
1135,-0.115872, -0.2541, -9.92083,0.0928987, -0.0930326, -0.907422,-1.72113, -0.263659, -0.0425195
