time,Vnom,I_mA,mAh_remaining
2460,8.38255,30966.2,99.1181
2465,8.38251,30966.1,99.1161
2470,8.38248,30966,99.1142
2475,8.38244,30965.8,99.1122
2480,8.3824,30965.7,99.1103
2485,8.38237,30965.5,99.1083
2490,8.38233,30965.4,99.1064
2495,8.38229,30965.2,99.1044
2500,8.38225,30965.1,99.1025
2505,8.38222,30964.9,99.1005
2510,8.38218,30964.8,99.0985
2515,8.38214,30964.7,99.0966
2520,8.38211,30964.5,99.0946
2525,8.38207,30964.4,99.0927
2530,8.38203,30964.2,99.0907
2535,8.382,30964.1,99.0888
2540,8.38196,30963.9,99.0868
2545,8.38192,30963.8,99.0849
2550,8.38188,30963.7,99.0829
2555,8.38185,30963.5,99.0809
2560,8.38181,30963.4,99.079
2565,8.38177,30963.2,99.077
2570,8.38174,30963.1,99.0751
2575,8.3817,30962.9,99.0731
2580,8.38166,30962.8,99.0712
2585,8.38163,30962.6,99.0692
2590,8.38159,30962.5,99.0673
2595,8.38155,30962.4,99.0653
2600,8.38152,30962.2,99.0634
2605,8.38148,30962.1,99.0614
2610,8.38144,30961.9,99.0594
2615,8.3814,30961.8,99.0575
2620,8.38137,30961.6,99.0555
2625,8.38133,30961.5,99.0536
2630,8.38129,30961.3,99.0516
2635,8.38126,30961.2,99.0497
2640,8.38122,30961.1,99.0477
2645,8.38118,30960.9,99.0458
2650,8.38115,30960.8,99.0438
2655,8.38111,30960.6,99.0419
2660,8.38107,30960.5,99.0399
2665,8.38103,30960.3,99.0379
2670,8.381,30960.2,99.036
2675,8.38096,30960,99.034
2680,8.38092,30959.9,99.0321
2685,8.38089,30959.8,99.0301
2690,8.38085,30959.6,99.0282
2695,8.38081,30959.5,99.0262
2700,8.38078,30959.3,99.0243
2705,8.38074,30959.2,99.0223
2710,8.3807,30959,99.0204
2715,8.38067,30958.9,99.0184
2720,8.38063,30958.7,99.0164
2725,8.38059,30958.6,99.0145
2730,8.38056,30958.5,99.0125
2735,8.38052,30958.3,99.0106
2740,8.38048,30958.2,99.0086
2745,8.38044,30958,99.0067
2750,8.38041,30957.9,99.0047
2755,8.38037,30957.7,99.0028
2760,8.38033,30957.6,99.0008
2765,8.3803,30957.4,98.9989
2770,8.38026,30957.3,98.9969
2775,8.38022,30957.2,98.9949
2780,8.38019,30957,98.993
2785,8.38015,30956.9,98.991
2790,8.38011,30956.7,98.9891
2795,8.38008,30956.6,98.9871
2800,8.38004,30956.4,98.9852
2805,8.38,30956.3,98.9832
2810,8.37997,30956.2,98.9813
2815,8.37993,30956,98.9793
2820,8.37989,30955.9,98.9774
2825,8.37985,30955.7,98.9754
2830,8.37982,30955.6,98.9734
2835,8.37978,30955.4,98.9715
2840,8.37974,30955.3,98.9695
2845,8.37971,30955.1,98.9676
2850,8.37967,30955,98.9656
2855,8.37963,30954.9,98.9637
2860,8.3796,30954.7,98.9617
2865,8.37956,30954.6,98.9598
2870,8.37952,30954.4,98.9578
2875,8.37949,30954.3,98.9559
2880,8.37945,30954.1,98.9539
2885,8.37941,30954,98.952
2890,8.37938,30953.8,98.95
2895,8.37934,30953.7,98.948
2900,8.3793,30953.6,98.9461
2905,8.37927,30953.4,98.9441
2910,8.37923,30953.3,98.9422
2915,8.37919,30953.1,98.9402
2920,8.37915,30953,98.9383
2925,8.37912,30952.8,98.9363
2930,8.37908,30952.7,98.9344
2935,8.37904,30952.6,98.9324
2940,8.37901,30952.4,98.9305
2945,8.37897,30952.3,98.9285
2950,8.37893,30952.1,98.9265
2955,8.3789,30952,98.9246
2960,8.37886,30951.8,98.9226
2965,8.37882,30951.7,98.9207
2970,8.37879,30951.5,98.9187
2975,8.37875,30951.4,98.9168
2980,8.37871,30951.3,98.9148
2985,8.37868,30951.1,98.9129
2990,8.37864,30951,98.9109
2995,8.3786,30950.8,98.909
3000,8.37857,30950.7,98.907
3005,8.37853,30950.5,98.9051
3010,8.37849,30950.4,98.9031
3015,8.37846,30950.3,98.9011
3020,8.37842,30950.1,98.8992
3025,8.37838,30950,98.8972
3030,8.37835,30949.8,98.8953
3035,8.37831,30949.7,98.8933
3040,8.37827,30949.5,98.8914
3045,8.37823,30949.4,98.8894
3050,8.3782,30949.2,98.8875
3055,8.37816,30949.1,98.8855
3060,8.37812,30949,98.8836
3065,8.37809,30948.8,98.8816
3070,8.37805,30948.7,98.8797
3075,8.37801,30948.5,98.8777
3080,8.37798,30948.4,98.8757
3085,8.37794,30948.2,98.8738
3090,8.3779,30948.1,98.8718
