time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
630,0,0,0,0.553848,0,0,-0.000632453,0.200483,-0.200483,-0.200483,0.200483
635,0,0,0,0.546304,0,0,-0.000647056,0.200512,-0.200512,-0.200512,0.200512
640,0,0,0,0.538807,0,0,-0.000661804,0.200542,-0.200542,-0.200542,0.200542
645,0,0,0,0.53136,0,0,-0.000676686,0.200572,-0.200572,-0.200572,0.200572
650,0,0,0,0.52396,0,0,-0.000691701,0.200602,-0.200602,-0.200602,0.200602
655,0,0,0,0.516608,0,0,-0.00070684,0.200632,-0.200632,-0.200632,0.200632
660,0,0,0,0.509304,0,0,-0.0007221,0.200662,-0.200662,-0.200662,0.200662
665,0,0,0,0.502047,0,0,-0.000737474,0.200693,-0.200693,-0.200693,0.200693
670,0,0,0,0.494838,0,0,-0.000752961,0.200724,-0.200724,-0.200724,0.200724
675,0,0,0,0.487675,0,0,-0.000768552,0.200755,-0.200755,-0.200755,0.200755
680,0,0,0,0.48056,0,0,-0.000784244,0.200787,-0.200787,-0.200787,0.200787
685,0,0,0,0.47349,0,0,-0.000800034,0.200818,-0.200818,-0.200818,0.200818
690,0,0,0,0.466467,0,0,-0.000815916,0.20085,-0.20085,-0.20085,0.20085
695,0,0,0,0.45949,0,0,-0.000831886,0.200882,-0.200882,-0.200882,0.200882
700,0,0,0,0.452559,0,0,-0.000847942,0.200914,-0.200914,-0.200914,0.200914
705,0,0,0,0.445673,0,0,-0.000864076,0.200947,-0.200947,-0.200947,0.200947
710,0,0,0,0.438833,0,0,-0.000880288,0.200979,-0.200979,-0.200979,0.200979
715,0,0,0,0.432037,0,0,-0.000896574,0.201012,-0.201012,-0.201012,0.201012
720,0,0,0,0.425288,0,0,-0.000910038,0.201039,-0.201039,-0.201039,0.201039
725,0,0,0,0.418596,0,0,-0.000916434,0.201052,-0.201052,-0.201052,0.201052
730,0,0,0,0.411971,0,0,-0.000916043,0.201051,-0.201051,-0.201051,0.201051
735,0,0,0,0.405426,0,0,-0.000909147,0.201037,-0.201037,-0.201037,0.201037
740,0,0,0,0.39897,0,0,-0.000896025,0.201011,-0.201011,-0.201011,0.201011
745,0,0,0,0.392614,0,0,-0.000876942,0.200972,-0.200972,-0.200972,0.200972
750,0,0,0,0.386365,0,0,-0.000852159,0.200923,-0.200923,-0.200923,0.200923
755,0,0,0,0.380234,0,0,-0.000821925,0.200862,-0.200862,-0.200862,0.200862
760,0,0,0,0.374228,0,0,-0.000786482,0.200791,-0.200791,-0.200791,0.200791
765,0,0,0,0.368355,0,0,-0.000746066,0.20071,-0.20071,-0.20071,0.20071
770,0,0,0,0.362622,0,0,-0.000700899,0.20062,-0.20062,-0.20062,0.20062
775,0,0,0,0.357036,0,0,-0.000651203,0.200521,-0.200521,-0.200521,0.200521
780,0,0,0,0.351604,0,0,-0.000597187,0.200413,-0.200413,-0.200413,0.200413
785,0,0,0,0.34633,0,0,-0.000539053,0.200297,-0.200297,-0.200297,0.200297
790,0,0,0,0.341221,0,0,-0.000476996,0.200173,-0.200173,-0.200173,0.200173
795,0,0,0,0.336282,0,0,-0.000411205,0.200043,-0.200043,-0.200043,0.200043
800,0,0,0,0.331517,0,0,-0.000341862,0.199905,-0.199905,-0.199905,0.199905
805,0,0,0,0.326931,0,0,-0.000269138,0.199761,-0.199761,-0.199761,0.199761
810,0,0,0,0.322526,0,0,-0.000193203,0.19961,-0.19961,-0.19961,0.19961
815,0,0,0,0.318308,0,0,-0.000114216,0.199454,-0.199454,-0.199454,0.199454
820,0,0,0,0.31428,0,0,-3.23312e-05,0.199292,-0.199292,-0.199292,0.199292
825,0,0,0,0.310443,0,0,5.23017e-05,-0.199332,0.199332,0.199332,-0.199332
830,0,0,0,0.306751,0,0,7.83569e-05,-0.199383,0.199383,0.199383,-0.199383
835,0,0,0,0.303091,0,0,6.25728e-05,-0.199352,0.199352,0.199352,-0.199352
840,0,0,0,0.299446,0,0,4.67917e-05,-0.199321,0.199321,0.199321,-0.199321
845,0,0,0,0.295818,0,0,3.10128e-05,-0.19929,0.19929,0.19929,-0.19929
850,0,0,0,0.292204,0,0,1.52362e-05,-0.199259,0.199259,0.199259,-0.199259
855,0,0,0,0.288607,0,0,-5.37955e-07,0.19923,-0.19923,-0.19923,0.19923
860,0,0,0,0.285024,0,0,-1.63078e-05,0.199261,-0.199261,-0.199261,0.199261
865,0,0,0,0.281457,0,0,-3.20758e-05,0.199292,-0.199292,-0.199292,0.199292
870,0,0,0,0.277905,0,0,-4.78402e-05,0.199323,-0.199323,-0.199323,0.199323
875,0,0,0,0.274368,0,0,-6.35993e-05,0.199354,-0.199354,-0.199354,0.199354
880,0,0,0,0.270845,0,0,-7.9356e-05,0.199385,-0.199385,-0.199385,0.199385
885,0,0,0,0.267337,0,0,-9.51084e-05,0.199416,-0.199416,-0.199416,0.199416
890,0,0,0,0.263844,0,0,-0.000110856,0.199447,-0.199447,-0.199447,0.199447
895,0,0,0,0.260365,0,0,-0.000126599,0.199479,-0.199479,-0.199479,0.199479
900,0,0,0,0.2569,0,0,-0.000142339,0.19951,-0.19951,-0.19951,0.19951
905,0,0,0,0.253449,0,0,-0.000158074,0.199541,-0.199541,-0.199541,0.199541
910,0,0,0,0.250012,0,0,-0.000173803,0.199572,-0.199572,-0.199572,0.199572
915,0,0,0,0.246589,0,0,-0.000189528,0.199603,-0.199603,-0.199603,0.199603
920,0,0,0,0.243179,0,0,-0.000205246,0.199634,-0.199634,-0.199634,0.199634
925,0,0,0,0.239784,0,0,-0.000220961,0.199665,-0.199665,-0.199665,0.199665
930,0,0,0,0.236401,0,0,-0.000236668,0.199696,-0.199696,-0.199696,0.199696
935,0,0,0,0.233032,0,0,-0.000252371,0.199727,-0.199727,-0.199727,0.199727
940,0,0,0,0.229676,0,0,-0.000268068,0.199759,-0.199759,-0.199759,0.199759
945,0,0,0,0.226334,0,0,-0.000283759,0.19979,-0.19979,-0.19979,0.19979
950,0,0,0,0.223004,0,0,-0.000299444,0.199821,-0.199821,-0.199821,0.199821
955,0,0,0,0.219687,0,0,-0.000315123,0.199852,-0.199852,-0.199852,0.199852
960,0,0,0,0.216383,0,0,-0.000330795,0.199883,-0.199883,-0.199883,0.199883
965,0,0,0,0.213091,0,0,-0.000346462,0.199914,-0.199914,-0.199914,0.199914
970,0,0,0,0.209812,0,0,-0.000362122,0.199945,-0.199945,-0.199945,0.199945
975,0,0,0,0.206545,0,0,-0.000377775,0.199976,-0.199976,-0.199976,0.199976
980,0,0,0,0.203291,0,0,-0.000393422,0.200007,-0.200007,-0.200007,0.200007
985,0,0,0,0.200048,0,0,-0.000409062,0.200038,-0.200038,-0.200038,0.200038
990,0,0,0,0.196819,0,0,-0.000423889,0.200068,-0.200068,-0.200068,0.200068
995,0,0,0,0.193608,0,0,-0.000432574,0.200085,-0.200085,-0.200085,0.200085
1000,0,0,0,0.190428,0,0,-0.000434436,0.200089,-0.200089,-0.200089,0.200089
1005,0,0,0,0.187291,0,0,-0.000429752,0.20008,-0.20008,-0.20008,0.20008
