time,c1,c2,c3,c4,c5,c6
3740,-0.00594431, 0.000671065, 0.0108508, -5.51599e-05, -6.62338e-05, 3.48824e-05
3760,-0.00590532, 0.00060208, 0.0105023, -5.46008e-05, -6.45324e-05, 3.36021e-05
3780,-0.00587309, 0.000522897, 0.00977139, -5.40675e-05, -6.03431e-05, 3.11253e-05
3800,-0.00585061, 0.000432163, 0.00919157, -5.35749e-05, -5.71203e-05, 2.91474e-05
3820,-0.00583287, 0.000337682, 0.00899907, -5.30995e-05, -5.63962e-05, 2.83925e-05
3840,-0.00578345, 0.000297625, 0.00919246, -5.26251e-05, -5.81593e-05, 2.88359e-05
3860,-0.00576287, 0.000212151, 0.0100775, -5.21224e-05, -6.44101e-05, 3.13975e-05
3880,-0.00572969, 0.000151243, 0.0117536, -5.15521e-05, -7.5782e-05, 3.63263e-05
3900,-0.00570826, 6.05693e-05, 0.0141991, -5.08738e-05, -9.21081e-05, 4.34612e-05
3920,-0.00566414, 6.65625e-05, 0.0156646, -5.00798e-05, -0.00010175, 4.74309e-05
3940,-0.00564647, 1.43208e-05, 0.0154899, -4.9263e-05, -0.000100559, 4.63906e-05
3960,-0.00560229, 5.93417e-05, 0.0149296, -4.84745e-05, -9.68012e-05, 4.42432e-05
3980,-0.00559526, -5.08178e-06, 0.0144021, -4.77217e-05, -9.32768e-05, 4.22457e-05
4000,-0.00556181, -7.87143e-07, 0.0141765, -4.69953e-05, -9.17974e-05, 4.11549e-05
